40,张三被判死缓2年，是不是2年后再杀掉？,166.1万,2188,张三日记,911795
41,一群咆哮的人民币,101.3万,1204,咪喵胖呀,910997
42,福尔摩斯：华生今晚不在家，我们可以....,96.3万,1781,逗比的雀巢,903902
43,降 智 猪 肘,98.0万,4994,盗月社食遇记,878206
44,这是他生前最后一句话...,105.6万,1947,刘拖地,867986
45,【罗翔】二奶是男的不算重婚罪？你发现了盲点。读评论#3,106.5万,1.1万,罗翔说刑法,860750
46,无头up主？众筹290万粉丝买个头……,62.7万,5657,二喵的饭,856602
47,【月瘦8斤这样腌鸡胸肉】7天不重样！超嫩的做法！真的会爱上吃鸡胸肉～减脂必备～,28.2万,82,羊羊低卡食记,847966
48,这是一个逆天级的游戏彩蛋！佛祖看了想落泪！,34.9万,2274,好运的鱼,846557
49,请不要随意篡改我的国籍，谢谢,123.8万,2.0万,老坛胡说,844359
50,走完同一条街，回到两个世界。,84.4万,909,在下豆子君,830264
51,史上最骚解说：在CCTV5看武侠剧是什么体验（二）,71.8万,2008,Super也好君,828045
52,从木头里取出一只长腿手办,71.8万,3606,卢正义的雕刻时光,827390
53,第7期（上）特别突围赛开启“生死战”【说唱新世代】,255.7万,20.0万,说唱新世代,817585
54,【猛男舞团】为LPL应援！K/DA《THE BADDEST》翻跳,75.6万,1358,猛男舞团IconX,809640
55,你管这叫只踩一点点？ 我一拳打飞一幕幕的回忆散在月光,34.5万,593,战场ヶ原様,806641
56,小伙砍一根竹子做了一大杯竹沥！感谢大自然的馈赠！,104.8万,3153,敬汉卿,801480
57,入住美国移动房屋，几千美元买栋可以拖走的房子值不值？,126.8万,8405,我是郭杰瑞,782583
58,不要“走音”挑战！（第五期）小潮再再再再再再临！,73.0万,4821,视角姬,746857
59,我只想静静地死去,47.3万,2697,黄一刀有毒,746842
60,“自从妹妹患了白血病，才知道《我不是药神》是真的，每瓶药三万，全家已经被逼到绝境”,70.4万,1491,北京青年x凉子访谈录,739156
61,《女 友 质 问 3》,79.8万,4451,十二礼,733114
62,请记住今天：AMD正式发布锐龙5000系列处理器,80.7万,4556,蒸気火鸡,728701
63,试吃网传10000元一斤的西班牙鹅颈藤壶，这次没翻车,116.2万,4132,大祥哥来了,725264
64,【原神】外 乡 人,38.0万,1958,不死な千咲,723894
65,1个人，2年时间，一份横跨700天的粉丝福利，请你签收,26.1万,659,一笔落尘,722328
66,那些不谈恋爱的男生到底是怎么想的？？？,62.3万,1308,-芝小士-,718908
67,我要来霸占二次元了，汝青回,73.7万,2046,街健呆木头,709350
68,一线游戏从业者，背刺《原神》，黑红路，能走多远？,35.4万,1.1万,阿广Hiro,706861
69,【片片】为男友下海，为学费犯罪，死伤无数，这才是青春疼痛文学！《人间课堂》上,64.2万,3805,小片片说大片,687484
70,正面刚！这次是500亿！9.4分神剧《半泽直树2》（5-6集）,49.4万,2729,木鱼水心,681554
71,蝎子精：“住在山里真不错！”,37.5万,2476,允星河Yoseya,679512
72,恋 爱 大 师,52.9万,8048,LexBurner,679484
73,泰坦：时代变了,114.6万,3192,MeantToBe-星星,679454
74,“千寻，我以前可是很强的！！”,42.0万,1247,爱神的贱,675216
75,我就是比其他鱼骚那么亿点点 【龙女动物学】软骨鱼纲,44.1万,3171,龙女之声,674335
76,张三终于做了件好事？,35.6万,3263,还有一天就放假了,667606
77,世界最贵商店长什么样，开一家劳斯莱斯店需要花多少钱？,74.2万,2391,终极小腾,665108
78,“成霜”成对？,71.5万,4195,玩加电竞,664825
79,【柴西】七 仙 女 下 凡,48.5万,2536,超Carry的柴西,662808
80,徐老师来巡山286：哥仨互挡子弹，无人生还,92.7万,3268,靠脸吃饭的徐大王,661031
81,小潮院长工作室黑暗一面？,72.8万,2693,杜海皇,660999
82,偷偷跟丈母娘告状！结局大快人心！,60.1万,4323,盖里老哥,659967
