39,原神 如何笔直的飞行,73.6万,1027,嫉妒使我天天深渊,960365
40,父亲写的散文诗,62.6万,1155,广西吴恩师,956725
41,你听过「蟹老板的心跳」吗？,105.7万,1264,脑电工,947802
42,探险大师老番茄,101.6万,8260,老番茄,932406
43,华农兄弟：上山一趟，发现不少野果，有些已经十几年没吃过了,127.9万,2.4万,华农兄弟,925966
44,张三被判死缓2年，是不是2年后再杀掉？,166.1万,2188,张三日记,911795
45,一群咆哮的人民币,101.3万,1204,咪喵胖呀,910997
46,福尔摩斯：华生今晚不在家，我们可以....,96.3万,1781,逗比的雀巢,903902
47,耿爽：今天只有一个意思，美国才是最大威胁。,108.1万,3417,共青团中央,893220
48,降 智 猪 肘,98.0万,4994,盗月社食遇记,878206
49,这是他生前最后一句话...,105.6万,1947,刘拖地,867986
50,【罗翔】二奶是男的不算重婚罪？你发现了盲点。读评论#3,106.5万,1.1万,罗翔说刑法,860750
51,无头up主？众筹290万粉丝买个头……,62.7万,5657,二喵的饭,856602
52,【月瘦8斤这样腌鸡胸肉】7天不重样！超嫩的做法！真的会爱上吃鸡胸肉～减脂必备～,28.2万,82,羊羊低卡食记,847966
53,这是一个逆天级的游戏彩蛋！佛祖看了想落泪！,34.9万,2274,好运的鱼,846557
54,请不要随意篡改我的国籍，谢谢,123.8万,2.0万,老坛胡说,844359
55,走完同一条街，回到两个世界。,84.4万,909,在下豆子君,830264
56,史上最骚解说：在CCTV5看武侠剧是什么体验（二）,71.8万,2008,Super也好君,828045
57,从木头里取出一只长腿手办,71.8万,3606,卢正义的雕刻时光,827390
58,第7期（上）特别突围赛开启“生死战”【说唱新世代】,255.7万,20.0万,说唱新世代,817585
59,【猛男舞团】为LPL应援！K/DA《THE BADDEST》翻跳,75.6万,1358,猛男舞团IconX,809640
60,你管这叫只踩一点点？ 我一拳打飞一幕幕的回忆散在月光,34.5万,593,战场ヶ原様,806641
61,小伙砍一根竹子做了一大杯竹沥！感谢大自然的馈赠！,104.8万,3153,敬汉卿,801480
62,入住美国移动房屋，几千美元买栋可以拖走的房子值不值？,126.8万,8405,我是郭杰瑞,782583
63,盛兴而来 悻悻而去,62.6万,214,卧龙寺,775988
64,来看看假装把狗狗放进水里时，它们的反应哈哈哈【韩国博美犬RUDY&PONGKI】【搬什么搬运】,110.7万,593,搬什么搬,748273
65,不要“走音”挑战！（第五期）小潮再再再再再再临！,73.0万,4821,视角姬,746857
66,我只想静静地死去,47.3万,2697,黄一刀有毒,746842
67,“自从妹妹患了白血病，才知道《我不是药神》是真的，每瓶药三万，全家已经被逼到绝境”,70.4万,1491,北京青年x凉子访谈录,739156
68,《女 友 质 问 3》,79.8万,4451,十二礼,733114
69,请记住今天：AMD正式发布锐龙5000系列处理器,80.7万,4556,蒸気火鸡,728701
70,试吃网传10000元一斤的西班牙鹅颈藤壶，这次没翻车,116.2万,4132,大祥哥来了,725264
71,【原神】外 乡 人,38.0万,1958,不死な千咲,723894
72,1个人，2年时间，一份横跨700天的粉丝福利，请你签收,26.1万,659,一笔落尘,722328
73,那些不谈恋爱的男生到底是怎么想的？？？,62.3万,1308,-芝小士-,718908
74,小宝贝给妈妈拍照不小心按成了录像,88.5万,121,长樱路的呆呆,714773
75,我要来霸占二次元了，汝青回,73.7万,2046,街健呆木头,709350
76,一线游戏从业者，背刺《原神》，黑红路，能走多远？,35.4万,1.1万,阿广Hiro,706861
77,【片片】为男友下海，为学费犯罪，死伤无数，这才是青春疼痛文学！《人间课堂》上,64.2万,3805,小片片说大片,687484
78,正面刚！这次是500亿！9.4分神剧《半泽直树2》（5-6集）,49.4万,2729,木鱼水心,681554
79,蝎子精：“住在山里真不错！”,37.5万,2476,允星河Yoseya,679512
80,恋 爱 大 师,52.9万,8048,LexBurner,679484
81,泰坦：时代变了,114.6万,3192,MeantToBe-星星,679454
82,“千寻，我以前可是很强的！！”,42.0万,1247,爱神的贱,675216
83,我就是比其他鱼骚那么亿点点 【龙女动物学】软骨鱼纲,44.1万,3171,龙女之声,674335
84,张三终于做了件好事？,35.6万,3263,还有一天就放假了,667606
85,世界最贵商店长什么样，开一家劳斯莱斯店需要花多少钱？,74.2万,2391,终极小腾,665108
86,“成霜”成对？,71.5万,4195,玩加电竞,664825
87,【柴西】七 仙 女 下 凡,48.5万,2536,超Carry的柴西,662808
88,徐老师来巡山286：哥仨互挡子弹，无人生还,92.7万,3268,靠脸吃饭的徐大王,661031
89,小潮院长工作室黑暗一面？,72.8万,2693,杜海皇,660999
90,偷偷跟丈母娘告状！结局大快人心！,60.1万,4323,盖里老哥,659967
91,原神风神瞳位置大全！超详细的位置视频【啊滨】,30.9万,1000,疯子啊滨,653040
92,情 场 高 手,49.8万,779,仙道居士,650708
93,【小高姐】烤鸡,38.5万,2348,小高姐的魔法调料,650655
94,【上帝模式】对付流氓软件必须玩点不一样的！,31.8万,342,小宇boi,650064
95,【方舟剧场】祖玛玛的罗德岛日记#01,24.8万,437,聚能阁的红茶P,647509
96,我俩儿子用不着你操心,72.2万,115,不想啃老的航某银,645094
97,1443元的帝王蟹和163元的帝王蟹差距很大吗？,79.4万,5119,贤宝宝Baby,638386
98,三人性侵 轮到张三才发现是班上女同学 连忙送女孩回家  还构成犯罪吗？,75.3万,1282,张三的传奇一生,635394
99,JDG，你今晚这波真的伤兄弟们的心了啊。,79.1万,2942,魔能肥宅零酱,635180
100,天冷了，老爸外出务工，五斤老鸭做一锅鸭煲，吃到流眼泪,83.5万,5498,徐大sao,633583
