90,荒岛余生：德爷全家挨饿记,421.1万,3.3万,10.3万,全1集
91,红毯这件事,39.1万,609,2078,全1集
92,小主安康－宠物医院2,2767.9万,35.3万,97.1万,全8集
93,如果国宝会说话 第二季,1138.6万,3.4万,38.5万,全25集
94,法医宋慈,292.8万,2.7万,17.3万,全6集
95,川味 第一季,464.8万,3.1万,15.2万,全15集
96,奇趣美术馆,121.5万,6363,12.7万,全30集
97,脑力大挑战 第四季,160.4万,8204,8.4万,全10集
98,金银潭实拍80天,34.7万,1.1万,3.1万,全1集
99,百家讲坛之王立群读宋史（第一部）《宋太祖》,102.9万,2.7万,2.0万,全40集
100,高三,105.7万,1.0万,4.3万,全3集
