59,小橘子：叫你模仿没叫你超越,14.4万,129,消融の棉花糖,149455
60,大哥大洪金宝太敢说！直言：我不认识马云，看李连杰面子才会去,15.1万,126,综艺小猪说,147464
61,【硬糖少女303】 惊喜掉落！《硬要赢》舞蹈一镜到底版上线！,8.4万,1.5万,硬糖少女303,147146
62,我感觉能火！用仙剑三的方式打开英雄联盟！,7.4万,96,孤独的白瞟家,146482
63,我的法语作业之-介绍我的家,12.7万,246,SKGABL,143017
64,可以和闪电侠比速度的几位大佬,14.4万,50,爱上影视动漫剪辑,142956
65,两个老外为了最后一块糖醋里脊口吐芬芳,12.8万,121,澳洲大表哥vlog,142572
66,原神官方给的惊喜,14.6万,12,pwpuwp,142467
67,大家好，我是苏宁SofM！今天起正式入驻哔哩哔哩啦！,13.3万,209,SofM丶SN,142458
68,【张婧仪】我也来《风犬》reaction！你们的弹幕有毒！（上）,13.5万,203,张婧仪,140506
69,石原里美，桥本环奈御用化妆师，河北裕介教你化妆！,9.7万,189,河北裕介,136646
70,【德云社】二哥永远过不去的槛，九良都听不下去了,12.3万,19,画画的boy,136374
71,第一次为“猎豹格尔达”梳毛,10.5万,576,猎豹格尔达,136359
72,【吴刚】真当“达康书记”不上B站？这就来看看你们的鬼畜！,10.9万,821,演员吴刚,136166
73,当你的队友突然开麦是一个萌妹子时...,12.6万,80,土团联盟VLDL,135914
74,这像极了爱情,10.4万,182,黑大帅的潇洒哥_,134863
75,历时4个月的时间，我用1600多块彩色玻璃，重新解构了这幅百年油画,5.1万,190,W-StainedGlass,132554
76,卫校女生抓到一只老鼠，结果震惊了,11.4万,37,美少女特工队负责人,131445
77,网恋爆照失败现场,13.3万,37,王德发以德服人,131281
78,可能是B站最全的孙悟空（卡卡罗特）变身合集,9.3万,481,Super小句,130370
79,感谢bilibili朋友们对“童话动物园”的支持！【奥列格园长】,7.5万,583,克里米亚童话动物园,129517
80,小时候都被骗了！《春光灿烂猪八戒》每个人都是悲剧！（第一期）,12.7万,215,废李小柴,128930
81,【考研人必看】一研为定！都曾迷茫也想放弃，很难但值得我们付出，加油考研人，考研励志,4.6万,431,清深的华,128520
82,【王者级】不要笑挑战，全程高能！存活率0.00001％,10.8万,724,刘大可DK,127566
83,学会这金牌饺子馅，您也能开饺子馆~,5.4万,25,铭哥说美食,126840
84,【芋泥鲜牛乳】一瓶喝到四种口感的神仙饮品？秋天喝这个啊喂！,5.8万,30,你泡,126565
85,自然堂Xbilibili 支流大学 | 做支流，不逐流,11.1万,567,自然堂,126205
86,【华莎Maria】海卫女团！全网最慢！中文填翻！（单押skr）,6.3万,313,海卫十一HeavenEleven,125141
87,泽塔奥特曼：借勋章不还差点气哭反派小哥，伽古拉太狡猾玩文字游戏,11.7万,71,关自在,124922
88,瘦下来才知道自己有多美！,12.4万,2,DZR鱼,123444
89,《JOJO的奇妙冒险》真人版部分片断流出,9.3万,181,-老小子-,120736
90,pp黑黑的 怎么办！,6.9万,10,加仔jasper,119805
91,以前成龙下楼VS现在成龙下楼,11.3万,7,艺秋剪辑,118733
92,皇上小鸟依人 皇后大鹏展翅,7.9万,49,又穷又馋动画组,117352
93,《我和我的家乡》1080P  生活就应当如此，有笑有泪！十万字深度解析！,11.2万,29,岚园黛文,116726
94,【原创动画】儿子起飞的样子不像我怎么办 | 我的爸爸是条龙哦,10.1万,39,我的爸爸是条龙哦,116698
95,女孩纸要对自己好一点，能怪自己男朋友就别怪自己！,10.4万,63,阿巳与小铃铛,116020
96,《中餐厅》林大厨带你领略“水煮肥牛”的威力！,7.4万,121,林述巍JACKLIN,115647
97,一杯奶茶换回来的女朋友！,11.4万,11,小亮哥和炫炫,115248
98,美国小伙凌晨4点起床赶海，海滩发现巨型稀有海葵！,10.5万,146,美国渔人丹尼尔,114300
99,【原神-极致踩点】我与「天理」和平无存  唯有战争！,5.1万,141,MI_H酱,114247
100,在路上不要背后叫人，她很可能是你的....,11.0万,1,会翻身的咸鱼1,113979
